Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover (%)
2008,NH75,Red,Red,57.57591567,-4.093863667,3,0.068936027
2008,NH79,Red,Red,57.96266,-4.194655,2,0.284927519
2008,NH80,Red,Red,57.12759878,-3.896209556,21,0.48214815
2008,NH81,Red,Red,57.1890375,-3.840461833,13,0.195903381
2008,NH82,Red,Red,57.26860733,-3.907176333,3,0.196584236
2008,NH84,Red,Red,57.520684,-3.933125667,3,0.350374144
2008,NH85,Red,Red,57.56852415,-3.912320231,26,0.166121959
2008,NH87,Red,Red,57.704673,-3.984322,1,0.052594052
2008,NH90,Red,Red,57.1546725,-3.74250325,24,0.242609741
2008,NH91,Red,Red,57.2134715,-3.76719025,61,0.576699584
2008,NH92,Red,Red,57.29028567,-3.736071167,47,0.360645539
2008,NH94,Red,Red,57.4900125,-3.735739,2,0.578514898
2008,NH95,Red,Red,57.59850333,-3.729752333,9,0.451913334
2008,NH96,Red,Red,57.652483,-3.67981,1,0.135726968
2008,NJ01,Red,Red,57.252183,-3.649944667,12,0.250164355
2008,NJ02,Red,Red,57.28515052,-3.634601346,82,0.367760037
2008,NJ03,Red,Red,57.366683,-3.5706555,4,0.196655844
2008,NJ05,Red,Red,57.60842057,-3.623974429,11,0.475231548
2008,NJ06,Red,Red,57.65307538,-3.598332,13,0.119632158
2008,NJ13,Red,Red,57.38834525,-3.4341715,4,0.310360068
2008,NJ15,Red,Red,57.556957,-3.449765,4,0.466503657
2008,NJ16,Red,Red,57.67683125,-3.454317125,13,0.213015693
2008,NJ20,Red,Red,57.162064,-3.199483,3,0.062236911
2008,NJ22,Red,Red,57.352836,-3.258884,1,0.180855805
2008,NJ23,Red,Red,57.439642,-3.291852,1,0.231808363
2008,NJ24,Red,Red,57.47551667,-3.232926667,16,0.549167455
2008,NJ25,Red,Red,57.596072,-3.278796333,5,0.393981159
2008,NJ26,Red,Red,57.68342975,-3.265428667,14,0.206048504
2008,NJ27,Red,Red,57.717739,-3.285799,1,0.000564718
2008,NJ30,Grey,Grey,57.094271,-3.14778,1,0.151631489
2008,NJ30,Red,Red,57.094271,-3.14778,2,0.151631489
2008,NJ31,Red,Red,57.213944,-3.0643005,10,0.355215389
2008,NJ33,Red,Red,57.439473,-3.121921,1,0.183605053
2008,NJ34,Red,Red,57.501719,-3.092124,1,0.465102441
2008,NJ35,Red,Red,57.6029985,-3.098811125,10,0.500497834
2008,NJ36,Red,Red,57.639206,-3.0861995,2,0.163872224
2008,NJ40,Red,Red,57.12428675,-2.86906425,6,0.270596315
2008,NJ41,Red,Red,57.211934,-2.873436,9,0.198864466
2008,NJ43,Red,Red,57.443591,-2.948774,6,0.532415417
2008,NJ44,Red,Red,57.481192,-2.861384667,7,0.279418649
2008,NJ50,Red,Red,57.1360286,-2.7441152,6,0.300177353
2008,NJ51,Grey,Grey,57.24271771,-2.699558571,9,0.195111833
2008,NJ51,Red,Red,57.2230875,-2.7650085,2,0.195111833
2008,NJ54,Red,Red,57.47357783,-2.813937167,8,0.278768844
2008,NJ55,Red,Red,57.5400845,-2.8318425,4,0.230953581
2008,NJ56,Red,Red,57.653128,-2.783322,2,0.133328252
2008,NJ60,Red,Red,57.11466225,-2.60968575,15,0.260572992
2008,NJ61,Grey,Grey,57.22636225,-2.589589,4,0.390690039
2008,NJ61,Red,Red,57.23725996,-2.575057385,31,0.390690039
2008,NJ62,Red,Red,57.2965555,-2.56374825,11,0.281017805
2008,NJ64,Red,Red,57.511219,-2.618374,1,0.116381545
2008,NJ65,Grey,Grey,57.556944,-2.635861,1,0.115223998
2008,NJ65,Red,Red,57.588549,-2.510045,5,0.115223998
2008,NJ66,Red,Red,57.654444,-2.52990375,4,0.047543882
2008,NJ70,Grey,Grey,57.118123,-2.351312,4,0.271022756
2008,NJ70,Red,Red,57.1542812,-2.4069458,5,0.271022756
2008,NJ71,Grey,Grey,57.2341823,-2.456787391,26,0.178261556
2008,NJ71,Red,Red,57.23424009,-2.440462391,35,0.178261556
2008,NJ72,Red,Red,57.29572775,-2.429751,5,0.086470649
2008,NJ73,Red,Red,57.42100525,-2.44201875,16,0.102744658
2008,NJ75,Red,Red,57.55412567,-2.456451333,3,0.091663401
2008,NJ76,Red,Red,57.64454067,-2.498630667,5,0.007306248
2008,NJ80,Grey,Grey,57.11779971,-2.215685627,190,0.145801017
2008,NJ80,Red,Red,57.138447,-2.263873,20,0.145801017
