OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
NN93,56.52570102,-3.725736083,0.059898243,80,2,0.975609756,0.024390244
NN94,56.584027,-3.648956231,0.536062011,158,15,0.913294798,0.086705202
NN95,56.69488275,-3.732718023,0.421215582,952,53,0.947263682,0.052736318
NN96,56.73383914,-3.776720196,0.114435342,181,1,0.994505495,0.005494505
NN97,56.8626608,-3.714023533,0.00975876,17,0,1,0
NO00,56.20213431,-3.562171671,0.325315484,348,16,0.956043956,0.043956044
NO01,56.33035794,-3.536862977,0.233963337,300,125,0.705882353,0.294117647
NO02,56.42313597,-3.530966296,0.218594493,531,664,0.444351464,0.555648536
NO03,56.49462761,-3.540177621,0.201753146,575,303,0.654897494,0.345102506
NO04,56.56805312,-3.567051249,0.369788833,2026,724,0.736727273,0.263272727
NO05,56.70475903,-3.516473103,0.128524074,69,0,1,0
NO06,56.74021866,-3.528835969,0.193679366,115,1,0.99137931,0.00862069
NO07,56.856673,-3.559508,0.019706071,1,0,1,0
NO08,56.98651355,-3.532388586,0.050993501,87,0,1,0
NO09,57.00860906,-3.538330419,0.14657552,36,0,1,0
NO10,56.21780179,-3.4051738,0.076759514,958,290,0.767628205,0.232371795
NO11,56.32605129,-3.380358002,0.153796274,476,142,0.770226537,0.229773463
NO12,56.40513642,-3.407195533,0.164696499,766,990,0.436218679,0.563781321
NO13,56.50266776,-3.404551515,0.190279153,794,490,0.618380062,0.381619938
NO14,56.58173657,-3.369620101,0.136384102,1013,483,0.677139037,0.322860963
NO15,56.65947757,-3.402883049,0.245170626,178,9,0.951871658,0.048128342
NO16,56.74480567,-3.377047,0.090105103,59,0,1,0
NO17,56.83679225,-3.40766775,0.008702198,4,0,1,0
NO18,56.98603823,-3.462363273,0.058430303,22,0,1,0
NO19,57.00892484,-3.388712763,0.203243873,257,1,0.996124031,0.003875969
NO20,56.23366451,-3.18845691,0.150020785,376,336,0.528089888,0.471910112
NO21,56.30616574,-3.228345908,0.13967205,552,99,0.847926267,0.152073733
NO22,56.41519501,-3.219920275,0.067207426,203,138,0.595307918,0.404692082
NO23,56.5097486,-3.230459716,0.177162768,241,209,0.535555556,0.464444444
NO24,56.59184857,-3.19057451,0.084138221,904,860,0.512471655,0.487528345
NO25,56.66614559,-3.216826504,0.208072609,278,42,0.86875,0.13125
NO26,56.744257,-3.255975462,0.278015262,16,1,0.941176471,0.058823529
NO27,56.86445653,-3.199219475,0.109615141,173,1,0.994252874,0.005747126
NO28,56.96050657,-3.226504286,0.019256254,7,0,1,0
NO29,57.03740892,-3.223227524,0.263151057,151,0,1,0
NO30,56.23848512,-3.060378006,0.100008326,113,68,0.624309392,0.375690608
NO31,56.30339772,-3.065093293,0.09870466,350,131,0.727650728,0.272349272
NO32,56.41826317,-3.029631538,0.062492866,241,214,0.52967033,0.47032967
NO33,56.48704686,-3.058029402,0.106139225,1699,1406,0.547181965,0.452818035
NO34,56.60581439,-3.048899556,0.107557369,205,255,0.445652174,0.554347826
NO35,56.67897252,-3.025616227,0.112913192,875,70,0.925925926,0.074074074
NO36,56.75127034,-3.035218124,0.159996286,107,3,0.972727273,0.027272727
NO37,56.83729127,-3.072090409,0.03774513,24,0,1,0
NO38,56.96164865,-3.127634324,0.038427435,39,0,1,0
NO39,57.05025085,-3.058058849,0.377846937,306,3,0.990291262,0.009708738
NO40,56.23175095,-2.879135656,0.10475566,162,61,0.726457399,0.273542601
NO41,56.32194,-2.862569204,0.065521543,177,123,0.59,0.41
NO42,56.41856356,-2.897466241,0.220115118,652,137,0.826362484,0.173637516
NO43,56.48778137,-2.886702832,0.044310792,87,640,0.119669876,0.880330124
NO44,56.60911512,-2.887386176,0.104656114,229,208,0.52402746,0.47597254
NO45,56.67092622,-2.872531059,0.094206324,492,44,0.917910448,0.082089552
NO46,56.7450665,-2.87081506,0.092299112,189,3,0.984375,0.015625
NO47,56.87889814,-2.851040545,0.014944742,81,0,1,0
NO48,56.92156831,-2.917688462,0.012584188,16,0,1,0
NO49,57.06713368,-2.919673227,0.421568064,138,4,0.971830986,0.028169014
NO50,56.23785082,-2.747734909,0.023904932,4,7,0.363636364,0.636363636
NO51,56.31428277,-2.776039738,0.031802716,117,59,0.664772727,0.335227273
NO52,56.4277071,-2.804302619,0.007416706,30,2,0.9375,0.0625
NO53,56.51509289,-2.748381023,0.06448071,79,224,0.260726073,0.739273927
NO54,56.60162246,-2.737022338,0.075704654,754,114,0.868663594,0.131336406
NO55,56.67063032,-2.72919335,0.207330037,610,76,0.889212828,0.110787172
NO56,56.76232541,-2.692529271,0.100565871,353,20,0.946380697,0.053619303
NO57,56.85382816,-2.692475391,0.062725992,170,1,0.994152047,0.005847953
NO58,56.9362085,-2.757128,0.000551415,2,0,1,0
NO59,57.07026257,-2.774977803,0.460101536,409,16,0.962352941,0.037647059
NO60,56.256005,-2.613723,0.001012667,2,3,0.4,0.6
NO61,56.29473,-2.640592,0.002079496,0,2,0,1
NO63,56.54679533,-2.630414333,0.001967034,4,6,0.4,0.6
NO64,56.59153009,-2.601939494,0.053825962,478,322,0.5975,0.4025
NO65,56.70341054,-2.600569077,0.10541475,308,593,0.341842397,0.658157603
NO66,56.76833849,-2.589707959,0.143553007,593,135,0.81456044,0.18543956
NO67,56.83909128,-2.589838229,0.188164163,331,4,0.988059701,0.011940299
NO68,56.96306045,-2.575965345,0.323629445,33,0,1,0
NO69,57.05531016,-2.528615988,0.470068188,771,130,0.855715871,0.144284129
NO75,56.7011966,-2.4756034,0.004754513,45,26,0.633802817,0.366197183
NO76,56.75695823,-2.453211393,0.067954718,456,29,0.940206186,0.059793814
NO77,56.84280927,-2.473405522,0.092430382,290,6,0.97972973,0.02027027
NO78,56.95826725,-2.387685875,0.486859939,8,0,1,0
NO79,57.05775239,-2.419667844,0.391035075,993,311,0.761503067,0.238496933
NO86,56.80729278,-2.322036,0.004394835,0,9,0,1
NO87,56.863004,-2.256653,0.022332974,0,1,0,1
NO88,56.97112037,-2.247143783,0.142319313,198,48,0.804878049,0.195121951
NO89,57.07728193,-2.244593674,0.163921579,212,351,0.376554174,0.623445826
NO99,57.0535756,-2.1518859,0.011242201,11,4,0.733333333,0.266666667
NR61,55.402921,-5.703054,0.288334879,2,0,1,0
NR64,55.6756695,-5.66357,0.021617142,6,0,1,0
NR68,55.96342767,-5.692884,0.041665751,3,0,1,0
NR72,55.466938,-5.561069,0.23574029,1,0,1,0
NR73,55.563214,-5.511418667,0.550015579,10,0,1,0
NR74,55.6273054,-5.524181,0.602837537,7,0,1,0
NR75,55.73805,-5.591325,0.239260232,1,0,1,0
NR76,55.81172146,-5.577404231,0.46735791,20,0,1,0
NR77,55.92410259,-5.60139931,0.157664477,56,0,1,0
NR78,56.02126683,-5.607681121,0.31348186,77,0,1,0
NR79,56.06723295,-5.555328474,0.154255284,91,0,1,0
NR82,55.50338458,-5.334003167,0.000464826,15,0,1,0
NR83,55.55821975,-5.377412,0.073822304,4,0,1,0
NR84,55.6435586,-5.386203,0.173322738,55,0,1,0
NR85,55.762707,-5.399042667,0.342543797,3,0,1,0
NR86,55.82477735,-5.468668395,0.488927412,68,0,1,0
NR87,55.89689,-5.421347333,0.262613914,49,0,1,0
NR88,56.01853371,-5.436397506,0.524428963,149,0,1,0
NR89,56.09386673,-5.489513369,0.514511979,128,0,1,0
NR92,55.46066211,-5.240370679,0.267710506,47,0,1,0
NR93,55.54485,-5.272446063,0.195408527,21,0,1,0
