Year,OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
2008,NO52,56.452249,-2.748696,0.007416706,1,0,1,0
2008,NO53,56.52181886,-2.768187571,0.06448071,4,3,0.571428571,0.428571429
2008,NO54,56.6205175,-2.753935833,0.075704654,6,0,1,0
2008,NO55,56.67852235,-2.71216915,0.207330037,113,0,1,0
2008,NO56,56.75570267,-2.678686833,0.100565871,9,0,1,0
2008,NO57,56.86987233,-2.719327333,0.062725992,3,0,1,0
2008,NO59,57.05994329,-2.762736471,0.460101536,20,7,0.740740741,0.259259259
2008,NO64,56.572472,-2.614760417,0.053825962,22,0,1,0
2008,NO65,56.6974218,-2.6363153,0.10541475,10,0,1,0
2008,NO66,56.788142,-2.6209864,0.143553007,14,0,1,0
2008,NO67,56.83258025,-2.55961025,0.188164163,7,0,1,0
2008,NO68,56.951015,-2.543337,0.323629445,3,0,1,0
2008,NO69,57.04577659,-2.516515608,0.470068188,27,33,0.45,0.55
2008,NO75,56.725838,-2.468152,0.004754513,1,0,1,0
2008,NO76,56.76523825,-2.44123625,0.067954718,6,0,1,0
2008,NO77,56.86684683,-2.465235667,0.092430382,18,0,1,0
2008,NO79,57.05363165,-2.430188081,0.391035075,34,66,0.34,0.66
2008,NO88,56.98243,-2.2755855,0.142319313,2,0,1,0
2008,NO89,57.08149199,-2.224011,0.163921579,3,197,0.015,0.985
2008,NO99,57.0262135,-2.1589415,0.011242201,0,2,0,1
2008,NR78,56.038148,-5.567787,0.31348186,4,0,1,0
2008,NR82,55.50342,-5.335458,0.000464826,1,0,1,0
2008,NR86,55.861246,-5.428167,0.488927412,8,0,1,0
2008,NR87,55.923673,-5.419539,0.262613914,1,0,1,0
2008,NR88,55.9970115,-5.452197,0.524428963,4,0,1,0
2008,NR92,55.509133,-5.188606,0.267710506,1,0,1,0
2008,NR93,55.554981,-5.290659,0.195408527,1,0,1,0
2008,NR97,55.911466,-5.227981333,0.407043845,8,0,1,0
2008,NR98,56.003869,-5.314308,0.460659017,1,0,1,0
2008,NR99,56.076987,-5.336664,0.505284241,2,0,1,0
2008,NS02,55.502235,-5.107268,0.250149616,16,0,1,0
2008,NS03,55.56568081,-5.143935083,0.173892761,59,0,1,0
2008,NS04,55.65629825,-5.151476,0.046610054,4,0,1,0
2008,NS09,56.1213674,-5.1033,0.502587072,7,0,1,0
2008,NS17,55.95107679,-4.937223474,0.391525693,34,0,1,0
2008,NS18,56.04857206,-4.921697792,0.45044691,62,1,0.984126984,0.015873016
2008,NS19,56.12756272,-5.025804928,0.452284672,90,1,0.989010989,0.010989011
2008,NS20,55.3025245,-4.766954333,0.193197788,1,8,0.111111111,0.888888889
2008,NS21,55.354876,-4.687034,0.060616839,0,4,0,1
2008,NS25,55.788868,-4.854054,0.118504346,0,1,0,1
2008,NS28,56.066635,-4.892236,0.173357668,3,0,1,0
2008,NS30,55.300976,-4.589767143,0.297983353,5,3,0.625,0.375
2008,NS31,55.40832467,-4.607627222,0.091125636,0,27,0,1
2008,NS32,55.47281646,-4.598402462,0.036765705,0,17,0,1
2008,NS33,55.603213,-4.648426667,0.065214234,0,4,0,1
2008,NS34,55.635394,-4.642658,0.093882211,0,5,0,1
2008,NS38,56.0092234,-4.6086126,0.234114961,0,142,0,1
2008,NS39,56.120942,-4.592199,0.201398578,1,0,1,0
2008,NS40,55.311036,-4.419301,0.278346889,0,3,0,1
2008,NS42,55.47347,-4.521028,0.078632065,0,1,0,1
2008,NS43,55.571882,-4.40994,0.047898243,0,1,0,1
2008,NS44,55.68176033,-4.5108195,0.115543379,0,13,0,1
2008,NS45,55.753931,-4.430722,0.113400857,0,10,0,1
2008,NS46,55.87287,-4.4381675,0.126261841,0,2,0,1
2008,NS47,55.92593733,-4.458059667,0.21642903,1,6,0.142857143,0.857142857
2008,NS49,56.12118933,-4.50745,0.480460827,3,1,0.75,0.25
2008,NS51,55.42052444,-4.287820556,0.241557983,0,13,0,1
2008,NS52,55.514758,-4.295563,0.154387766,0,3,0,1
2008,NS53,55.60535871,-4.297907429,0.147867661,0,31,0,1
2008,NS55,55.807018,-4.287208,0.0645833,0,5,0,1
2008,NS56,55.85398843,-4.308690143,0.064706874,0,14,0,1
2008,NS57,55.9313725,-4.317744,0.186779461,0,5,0,1
2008,NS59,56.1607316,-4.3458874,0.342263416,10,0,1,0
2008,NS61,55.38846275,-4.1859995,0.117161434,0,12,0,1
2008,NS65,55.753151,-4.185247,0.120713864,0,1,0,1
2008,NS66,55.818891,-4.177757,0.105119157,0,2,0,1
2008,NS69,56.11742538,-4.155798692,0.126435046,3,20,0.130434783,0.869565217
2008,NS70,55.35101633,-3.941675667,0.110678626,0,3,0,1
2008,NS71,55.3807666,-3.9471348,0.158209619,0,5,0,1
2008,NS74,55.70608467,-3.993208,0.067105307,1,2,0.333333333,0.666666667
2008,NS75,55.766666,-4.007471333,0.185123083,0,8,0,1
2008,NS76,55.900526,-4.028766,0.139718097,0,1,0,1
2008,NS77,55.9431695,-4.0037615,0.206847214,0,8,0,1
2008,NS78,56.074044,-3.968785,0.278273626,1,1,0.5,0.5
2008,NS79,56.12130288,-3.9636495,0.158513647,8,12,0.4,0.6
2008,NS80,55.30162424,-3.802586762,0.17839612,0,21,0,1
2008,NS81,55.412897,-3.893105,0.059451403,0,2,0,1
2008,NS82,55.488226,-3.784339,0.17346937,0,1,0,1
2008,NS84,55.68007989,-3.802261111,0.175714107,0,24,0,1
2008,NS85,55.734397,-3.84971,0.264271422,0,1,0,1
2008,NS87,55.999459,-3.791796,0.234041795,0,1,0,1
2008,NS89,56.092138,-3.9038,0.104547794,0,4,0,1
2008,NS96,55.902701,-3.641768,0.199431367,0,1,0,1
2008,NS98,56.073935,-3.671537,0.12023511,2,0,1,0
2008,NS99,56.1355676,-3.6854634,0.228417202,5,0,1,0
2008,NT00,55.33145038,-3.46829775,0.448028506,8,6,0.571428571,0.428571429
2008,NT04,55.6548945,-3.4835615,0.13658187,0,4,0,1
2008,NT06,55.860369,-3.508961,0.186688283,0,20,0,1
2008,NT08,56.059625,-3.598644,0.078000546,0,1,0,1
2008,NT09,56.169769,-3.581744333,0.203375634,1,16,0.058823529,0.941176471
2008,NT10,55.32509833,-3.386759333,0.492750012,0,6,0,1
2008,NT13,55.6037755,-3.3983005,0.157359746,2,0,1,0
2008,NT14,55.682292,-3.368493,0.161854275,0,1,0,1
2008,NT19,56.184117,-3.329912,0.170236278,1,0,1,0
2008,NT21,55.42057973,-3.142401636,0.408098031,5,12,0.294117647,0.705882353
2008,NT22,55.474604,-3.207823,0.157658453,0,2,0,1
2008,NT23,55.6367905,-3.13854275,0.163985542,2,2,0.5,0.5
2008,NT24,55.655461,-3.183185667,0.355317267,1,2,0.333333333,0.666666667
2008,NT26,55.912168,-3.25739,0.126153088,0,1,0,1
2008,NT27,55.94481443,-3.212537143,0.049180864,0,14,0,1
2008,NT29,56.154319,-3.258045,0.119626288,0,1,0,1
2008,NT30,55.347037,-3.005239,0.69517991,0,10,0,1
2008,NT31,55.40435033,-2.955107667,0.502654325,2,2,0.5,0.5
2008,NT32,55.559469,-2.959923,0.088144504,4,0,1,0
2008,NT33,55.62072956,-3.050167667,0.454800689,10,17,0.37037037,0.62962963
2008,NT35,55.811042,-2.962916,0.107171669,0,1,0,1
2008,NT36,55.86837475,-3.0646075,0.14372726,0,9,0,1
2008,NT40,55.302518,-2.830844,0.206774105,1,0,1,0
2008,NT42,55.54136292,-2.86678525,0.223149224,8,10,0.444444444,0.555555556
2008,NT43,55.59681811,-2.863865778,0.206392672,10,2,0.833333333,0.166666667
2008,NT46,55.869831,-2.870596333,0.125584483,6,2,0.75,0.25
2008,NT47,55.939071,-2.905256,0.06379801,1,0,1,0
2008,NT50,55.3576996,-2.7446176,0.604247454,2,7,0.222222222,0.777777778
2008,NT51,55.428086,-2.724769,0.107484804,0,6,0,1
2008,NT52,55.506191,-2.73855,0.137542303,1,0,1,0
2008,NT53,55.58995681,-2.722579813,0.156749234,10,9,0.526315789,0.473684211
2008,NT57,55.949261,-2.722945,0.08262098,0,2,0,1
2008,NT60,55.358161,-2.518118,0.488091366,5,0,1,0
