Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover(%)
1981,NN53,Red,Red,56.48476333,-4.345167333,3,0.179746914
1981,NN70,Red,Red,56.181192,-4.066111,1,0.30401815
1981,NO00,Red,Red,56.204657,-3.605481,1,0.325315484
1981,NO14,Red,Red,56.548677,-3.392284,1,0.136384102
1981,NO23,Red,Red,56.461349,-3.145654,1,0.177162768
1981,NO24,Red,Red,56.586729,-3.187473,3,0.084138221
1981,NO25,Red,Red,56.667155,-3.233478,1,0.208072609
1981,NO33,Red,Red,56.4848015,-3.032691,2,0.106139225
1981,NO34,Red,Red,56.551319,-3.132104,1,0.107557369
1981,NO41,Grey,Grey,56.301893,-2.866146,1,0.065521543
1981,NO42,Grey,Grey,56.454718,-2.853397,1,0.220115118
1981,NO42,Red,Red,56.42185367,-2.841858,3,0.220115118
1981,NO44,Red,Red,56.553417,-2.871884,1,0.104656114
1981,NS49,Red,Red,56.122496,-4.494957,1,0.480460827
1981,NS69,Red,Red,56.116358,-4.100435,1,0.126435046
1981,NS78,Grey,Grey,56.02894,-3.951241,1,0.278273626
1981,NS79,Grey,Grey,56.118987,-3.939712,1,0.158513647
1981,NS79,Red,Red,56.1523285,-4.02448725,4,0.158513647
1981,NS89,Grey,Grey,56.14717267,-3.854603833,6,0.104547794
1981,NS99,Red,Red,56.158462,-3.700165,1,0.228417202
1981,NT19,Grey,Grey,56.153897,-3.361468,2,0.170236278
1981,NT27,Grey,Grey,55.978805,-3.197852,1,0.049180864
1982,NC80,Red,Red,57.989042,-3.954356,1,0.227357823
1982,NH64,Red,Red,57.45982,-4.277796,2,0.237866924
1982,NN53,Red,Red,56.479545,-4.320212,2,0.179746914
1982,NN70,Red,Red,56.180019,-4.055575,1,0.30401815
1982,NO36,Red,Red,56.749503,-3.07265,1,0.159996286
1982,NO41,Red,Red,56.329172,-2.818249,1,0.065521543
1982,NO42,Red,Red,56.40093,-2.83599,1,0.220115118
1982,NO44,Red,Red,56.607427,-2.856838,1,0.104656114
1982,NS79,Red,Red,56.15793,-4.005281,1,0.158513647
1982,NS89,Grey,Grey,56.1373225,-3.9164945,2,0.104547794
1982,NT06,Grey,Grey,55.86678867,-3.498001,3,0.186688283
1982,NT07,Grey,Grey,55.992808,-3.48045,1,0.116464456
1982,NT19,Grey,Grey,56.141815,-3.336497,1,0.170236278
1983,NH52,Red,Red,57.27825,-4.448234,1,0.358523378
1983,NH89,Red,Red,57.953245,-4.003106,1,0.032315655
1983,NN50,Grey,Grey,56.1837405,-4.2789585,2,0.527976203
1983,NN60,Grey,Grey,56.1963784,-4.2061868,6,0.317673331
1983,NN70,Grey,Grey,56.181613,-3.985569,1,0.30401815
1983,NN70,Red,Red,56.2015755,-4.0559255,2,0.30401815
1983,NN95,Red,Red,56.710622,-3.765025,1,0.421215582
1983,NO32,Red,Red,56.381767,-2.997512,1,0.062492866
1983,NO33,Red,Red,56.489157,-3.04905,1,0.106139225
1983,NO79,Red,Red,57.056861,-2.333827,1,0.391035075
1983,NS68,Grey,Grey,56.069503,-4.210351,1,0.279522954
1983,NS79,Red,Red,56.1676055,-3.9904835,2,0.158513647
1983,NT26,Grey,Grey,55.916589,-3.219933,1,0.126153088
1984,NH92,Red,Red,57.303467,-3.744369,1,0.360645539
1984,NJ51,Red,Red,57.235955,-2.7694825,2,0.195111833
1984,NN96,Red,Red,56.721258,-3.775329,1,0.114435342
1984,NO27,Red,Red,56.874207,-3.191068,1,0.109615141
1984,NO33,Grey,Grey,56.48031,-3.032569,1,0.106139225
1984,NO34,Red,Red,56.587248,-3.133178,1,0.107557369
