OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover (%),CountRed,CountGrey,Count,Red%,Grey%
NN53,56.46908409,-4.315718493,17.9746914,262,0,262,100,0
NN54,56.5868805,-4.33745075,14.6052628,26,0,26,100,0
NN55,56.6837391,-4.329643857,46.8128324,24,0,24,100,0
NN57,56.883675,-4.334539,5.5124455,1,0,1,100,0
NN58,56.96718863,-4.42891175,19.7446678,8,0,8,100,0
NN59,56.992527,-4.348641,19.956452,7,0,7,100,0
NN60,56.24103175,-4.212938033,31.7673331,942,308,1250,75.36,24.64
NN61,56.29732233,-4.141849,3.8960964,4,0,4,100,0
NN62,56.38842884,-4.160405132,8.4119623,424,23,447,94.8545861,5.1454139
NN63,56.49392295,-4.220145053,9.741195,46,0,46,100,0
NN64,56.59116316,-4.17469672,7.1799332,38,0,38,100,0
NN65,56.69676259,-4.185840205,17.4978655,57,0,57,100,0
NN66,56.73739414,-4.185918714,10.9492584,10,1,11,90.9090909,9.0909091
NN68,56.9360335,-4.23547925,10.6901879,4,0,4,100,0
NN69,57.02214833,-4.237042,19.9188536,127,0,127,100,0
NN70,56.19216906,-3.98769487,30.401815,950,565,1515,62.7062706,37.2937294
NN71,56.34677805,-3.983406649,8.1389721,41,6,47,87.2340426,12.7659574
NN72,56.37960456,-4.003002025,22.9398951,704,300,1004,70.1195219,29.8804781
NN73,56.51523688,-4.0798945,1.5550701,8,1,9,88.8888889,11.1111111
NN74,56.58998247,-4.03245446,32.4498172,369,1,370,99.7297297,0.2702703
NN75,56.69374856,-4.036263869,29.3447326,72,0,72,100,0
NN76,56.75702648,-4.06834212,41.8117602,34,0,34,100,0
NN79,57.06471445,-4.1033902,19.0591006,163,0,163,100,0
NN80,56.21743228,-3.88840278,13.7126195,269,10,279,96.4157706,3.5842294
NN81,56.31562477,-3.84438255,23.6147944,143,26,169,84.6153846,15.3846154
NN82,56.38214388,-3.849854924,14.397231,569,803,1372,41.4723032,58.5276968
NN83,56.48444825,-3.801605375,2.5917158,13,0,13,100,0
NN84,56.61549264,-3.875230722,33.1220158,220,5,225,97.7777778,2.2222222
NN85,56.65089819,-3.838338458,24.4975569,221,3,224,98.6607143,1.3392857
NN86,56.77085359,-3.857048226,42.2130941,667,5,672,99.2559524,0.7440476
NN89,57.059592,-3.90897,29.2671456,2,0,2,100,0
NN90,56.2326406,-3.679305616,23.7428375,111,1,112,99.1071429,0.8928571
NN91,56.3023455,-3.715194211,17.1364837,315,131,446,70.6278027,29.3721973
NN92,56.41075524,-3.714574188,21.1420781,427,116,543,78.6372007,21.3627993
NN93,56.5272855,-3.734240107,5.9898243,39,1,40,97.5,2.5
NN94,56.58782384,-3.649037884,53.6062011,116,8,124,93.5483871,6.4516129
NN95,56.69439439,-3.732767669,42.1215582,783,20,803,97.50934,2.49066
NN96,56.73418118,-3.775995547,11.4435342,121,1,122,99.1803279,0.8196721
NN97,56.84420388,-3.758082625,0.975876,10,0,10,100,0
NO00,56.20164648,-3.561868932,32.5315484,339,12,351,96.5811966,3.4188034
NO01,56.32858334,-3.540481823,23.3963337,268,109,377,71.0875332,28.9124668
NO02,56.42397078,-3.533968382,21.8594493,502,534,1036,48.4555985,51.5444015
NO03,56.49401594,-3.54121343,20.1753146,519,249,768,67.578125,32.421875
NO04,56.56743107,-3.567227193,36.9788833,1765,630,2395,73.6951983,26.3048017
NO05,56.70546126,-3.515294355,12.8524074,61,0,61,100,0
NO06,56.73939329,-3.5276785,19.3679366,109,1,110,99.0909091,0.9090909
NO08,56.98785279,-3.52779175,5.0993501,75,0,75,100,0
NO09,57.00750388,-3.5497775,14.657552,8,0,8,100,0
NO10,56.21756161,-3.40553355,7.6759514,955,271,1226,77.8955954,22.1044046
NO11,56.32495514,-3.381622974,15.3796274,439,123,562,78.113879,21.886121
NO12,56.40467135,-3.410627901,16.4696499,537,641,1178,45.5857385,54.4142615
NO13,56.50160609,-3.406400611,19.0279153,714,428,1142,62.5218914,37.4781086
NO14,56.58339008,-3.37469499,13.6384102,744,398,1142,65.1488616,34.8511384
NO15,56.65770686,-3.402604873,24.5170626,153,3,156,98.0769231,1.9230769
NO16,56.74612341,-3.378464941,9.0105103,45,0,45,100,0
NO17,56.835485,-3.333253,0.8702198,1,0,1,100,0
NO18,56.98626318,-3.468133545,5.8430303,11,0,11,100,0
NO19,57.00719849,-3.389978879,20.3243873,210,0,210,100,0
NO20,56.23256501,-3.187039646,15.0020785,314,235,549,57.1948998,42.8051002
NO21,56.30548947,-3.232681903,13.967205,485,80,565,85.840708,14.159292
NO22,56.4141256,-3.219879766,6.7207426,172,112,284,60.5633803,39.4366197
NO23,56.51125084,-3.234227041,17.7162768,191,174,365,52.3287671,47.6712329
NO24,56.59165777,-3.190228902,8.4138221,840,826,1666,50.4201681,49.5798319
NO25,56.66560084,-3.217490531,20.8072609,247,36,283,87.2791519,12.7208481
NO26,56.73021138,-3.278139625,27.8015262,10,1,11,90.9090909,9.0909091
NO27,56.86365975,-3.197559208,10.9615141,28,1,29,96.5517241,3.4482759
NO28,56.95960325,-3.2470845,1.9256254,4,0,4,100,0
NO29,57.03521194,-3.221743471,26.3151057,115,0,115,100,0
NO30,56.23004863,-3.049142074,10.0008326,73,27,100,73,27
NO31,56.30435995,-3.060757613,9.870466,263,106,369,71.2737127,28.7262873
NO32,56.42318328,-3.023521107,6.2492866,170,126,296,57.4324324,42.5675676
NO33,56.4863576,-3.062450477,10.6139225,1174,910,2084,56.3339731,43.6660269
NO34,56.60558664,-3.049040647,10.7557369,131,243,374,35.026738,64.973262
NO35,56.67849019,-3.02597001,11.2913192,776,57,833,93.1572629,6.8427371
NO36,56.75238897,-3.035838014,15.9996286,86,3,89,96.6292135,3.3707865
NO37,56.83509644,-3.077687813,3.774513,17,0,17,100,0
NO38,56.95866936,-3.12959372,3.8427435,30,0,30,100,0
NO39,57.05116858,-3.055356278,37.7846937,201,2,203,99.0147783,0.9852217
NO40,56.23281947,-2.877073452,10.475566,130,45,175,74.2857143,25.7142857
NO41,56.32306383,-2.854434337,6.5521543,133,73,206,64.5631068,35.4368932
NO42,56.4198967,-2.910473936,22.0115118,427,45,472,90.4661017,9.5338983
NO43,56.48859791,-2.881810555,4.4310792,53,553,606,8.7458746,91.2541254
NO44,56.61023867,-2.888102442,10.4656114,190,204,394,48.2233503,51.7766497
NO45,56.67046786,-2.870378962,9.4206324,443,40,483,91.7184265,8.2815735
NO46,56.7445719,-2.868439913,9.2299112,165,1,166,99.3975904,0.6024096
NO47,56.88293692,-2.849131553,1.4944742,75,0,75,100,0
NO48,56.91672211,-2.919701333,1.2584188,11,0,11,100,0
NO49,57.06860686,-2.924324932,42.1568064,79,3,82,96.3414634,3.6585366
NO50,56.2387368,-2.7554956,2.3904932,1,4,5,20,80
NO51,56.31113271,-2.774884261,3.1802716,94,43,137,68.6131387,31.3868613
NO52,56.42620675,-2.800465875,0.7416706,18,1,19,94.7368421,5.2631579
NO53,56.51423196,-2.746337421,6.448071,64,218,282,22.6950355,77.3049645
NO54,56.60662475,-2.732950875,7.5704654,229,113,342,66.9590643,33.0409357
NO55,56.66920494,-2.736111374,20.7330037,449,76,525,85.5238095,14.4761905
NO56,56.76298359,-2.692319597,10.0565871,306,17,323,94.7368421,5.2631579
NO57,56.85305375,-2.691034443,6.2725992,140,1,141,99.2907801,0.7092199
NO59,57.0706888,-2.776117552,46.0101536,305,7,312,97.7564103,2.2435897
NO60,56.261581,-2.622281,0.1012667,2,0,2,100,0
NO61,56.29473,-2.640592,0.2079496,0,2,2,0,100
NO63,56.54807986,-2.630495429,0.1967034,2,6,8,25,75
NO64,56.59282691,-2.601593622,5.3825962,383,320,703,54.4807966,45.5192034
NO65,56.70394701,-2.598614456,10.541475,251,593,844,29.7393365,70.2606635
NO66,56.76648601,-2.588658828,14.3553007,526,135,661,79.5763994,20.4236006
NO67,56.83785206,-2.590520056,18.8164163,302,3,305,99.0163934,0.9836066
NO68,56.958435,-2.571944471,32.3629445,20,0,20,100,0
NO69,57.05537675,-2.52644694,47.0068188,644,99,743,86.6756393,13.3243607
NO75,56.70065609,-2.476033421,0.4754513,44,23,67,65.6716418,34.3283582
NO76,56.75612886,-2.454020806,6.7954718,422,29,451,93.5698448,6.4301552
NO77,56.83616907,-2.477450967,9.2430382,201,3,204,98.5294118,1.4705882
NO78,56.96094043,-2.372756286,48.6859939,7,0,7,100,0
NO79,57.05779311,-2.41263252,39.1035075,726,189,915,79.3442623,20.6557377
NO86,56.80729278,-2.322036,0.4394835,0,9,9,0,100
NO87,56.863004,-2.256653,2.2332974,0,1,1,0,100
NO88,56.97084388,-2.246729877,14.2319313,183,36,219,83.5616438,16.4383562
NO89,57.07834851,-2.243891628,16.3921579,205,322,527,38.8994307,61.1005693
NO99,57.04992833,-2.151164889,1.1242201,11,3,14,78.5714286,21.4285714
NR61,55.402921,-5.703054,28.8334879,2,0,2,100,0
NR64,55.672932,-5.664905,2.1617142,1,0,1,100,0
NR68,55.96342767,-5.692884,4.1665751,3,0,3,100,0
NR73,55.5640385,-5.50419775,55.0015579,9,0,9,100,0
NR74,55.61754,-5.507811,60.2837537,5,0,5,100,0
NR75,55.73805,-5.591325,23.9260232,1,0,1,100,0
NR76,55.81056117,-5.576037,46.735791,19,0,19,100,0
NR77,55.92359335,-5.604933654,15.7664477,53,0,53,100,0
NR78,56.01957792,-5.61359666,31.348186,69,0,69,100,0
NR79,56.06625742,-5.556735744,15.4255284,73,0,73,100,0
NR82,55.50321436,-5.334000818,0.0464826,14,0,14,100,0
NR83,55.571844,-5.4127075,7.3822304,2,0,2,100,0
NR84,55.6464744,-5.4002422,17.3322738,23,0,23,100,0
NR85,55.762707,-5.399042667,34.2543797,3,0,3,100,0
NR86,55.82172483,-5.469582733,48.8927412,47,0,47,100,0
NR87,55.89493479,-5.420656676,26.2613914,42,0,42,100,0
NR88,56.01929239,-5.435676145,52.4428963,134,0,134,100,0
NR89,56.09758805,-5.488650862,51.4511979,104,0,104,100,0
NR92,55.46109386,-5.242233143,26.7710506,40,0,40,100,0
NR93,55.54163109,-5.281229545,19.5408527,16,0,16,100,0
NR94,55.6963094,-5.2949192,2.6625832,8,0,8,100,0
NR95,55.70335381,-5.286556563,1.6119004,27,0,27,100,0
NR96,55.86363277,-5.247350308,17.8045152,13,0,13,100,0
NR97,55.90966229,-5.25040031,40.7043845,67,2,69,97.1014493,2.8985507
NR98,56.01796616,-5.29144773,46.0659017,56,0,56,100,0
NR99,56.09556849,-5.28770839,50.5284241,59,0,59,100,0
NS02,55.4955773,-5.10409894,25.0149616,84,0,84,100,0
NS03,55.57603922,-5.146960142,17.3892761,288,0,288,100,0
NS04,55.65486628,-5.15138744,4.6610054,31,0,31,100,0
NS06,55.872972,-5.0393005,7.2523291,2,0,2,100,0
NS07,55.92546003,-5.122942889,24.1188093,36,0,36,100,0
NS08,56.0135159,-5.173961034,49.731761,60,0,60,100,0
NS09,56.12172017,-5.143082222,50.2587072,63,0,63,100,0
NS15,55.726872,-4.910055,3.563057,1,1,2,50,50
NS16,55.86969685,-4.982859615,6.9295453,43,5,48,89.5833333,10.4166667
NS17,55.94510491,-4.934862462,39.1525693,204,6,210,97.1428571,2.8571429
NS18,56.02420405,-4.942342815,45.044691,456,1,457,99.7811816,0.2188184
NS19,56.12849809,-5.005672655,45.2284672,330,1,331,99.6978852,0.3021148
NS20,55.33957821,-4.785310175,19.3197788,6,155,161,3.7267081,96.2732919
NS21,55.36885952,-4.744990586,6.0616839,1,101,102,0.9803922,99.0196078
NS24,55.68235343,-4.756778973,4.2664935,0,46,46,0,100
NS25,55.76823769,-4.842987538,11.8504346,2,24,26,7.6923077,92.3076923
NS26,55.81305967,-4.857419333,3.6789498,0,3,3,0,100
NS27,55.94123783,-4.791607167,10.5745983,4,36,40,10,90
NS28,56.01868324,-4.804418939,17.3357668,49,274,323,15.1702786,84.8297214
NS29,56.10576784,-4.835565279,28.2935262,65,13,78,83.3333333,16.6666667
NS30,55.3077206,-4.60861249,29.7983353,17,98,115,14.7826087,85.2173913
NS31,55.41712771,-4.594300628,9.1125636,6,250,256,2.34375,97.65625
NS32,55.47559697,-4.597118175,3.6765705,6,154,160,3.75,96.25
NS33,55.58148583,-4.632395129,6.5214234,5,82,87,5.7471264,94.2528736
NS34,55.65242818,-4.641441409,9.3882211,0,152,152,0,100
NS35,55.76765769,-4.636061906,8.2475016,0,46,46,0,100
NS36,55.837558,-4.6318182,12.3074203,0,27,27,0,100
NS37,55.96344399,-4.635086699,9.9752676,16,128,144,11.1111111,88.8888889
NS38,56.0160156,-4.609738756,23.4114961,213,611,824,25.8495146,74.1504854
