Year,OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
1980,NN52,56.36007067,-4.372847333,0.240160195,2,1,0.666666667,0.333333333
1980,NN53,56.481284,-4.299205,0.179746914,1,0,1,0
1980,NN60,56.2193625,-4.2055325,0.317673331,0,6,0,1
1980,NN70,56.180285,-4.0394765,0.30401815,1,1,0.5,0.5
1980,NO16,56.765114,-3.318487,0.090105103,1,0,1,0
1980,NO20,56.244843,-3.236,0.150020785,1,0,1,0
1980,NO23,56.470331,-3.145924,0.177162768,1,0,1,0
1980,NO24,56.613265,-3.23172,0.084138221,1,0,1,0
1980,NO25,56.6810245,-3.193121,0.208072609,2,0,1,0
1980,NO32,56.453089,-3.06428,0.062492866,1,0,1,0
1980,NO33,56.49071,-3.0511195,0.106139225,2,0,1,0
1980,NO41,56.338156,-2.818441,0.065521543,1,0,1,0
1980,NO42,56.418896,-2.836384,0.220115118,1,0,1,0
1980,NO44,56.6039425,-2.8734555,0.104656114,2,0,1,0
1980,NO46,56.733071,-2.87604,0.092299112,1,0,1,0
1980,NO52,56.432786,-2.8079055,0.007416706,2,0,1,0
1980,NO54,56.55364,-2.770218,0.075704654,1,0,1,0
1980,NO55,56.689104,-2.728087,0.207330037,1,0,1,0
1980,NO66,56.788452,-2.631799,0.143553007,1,0,1,0
1980,NS68,56.056037,-4.2095805,0.279522954,0,2,0,1
1980,NS69,56.13298575,-4.177796,0.126435046,0,4,0,1
1980,NS77,55.975063,-3.948527,0.206847214,0,1,0,1
1980,NS79,56.1554737,-3.9648043,0.158513647,4,7,0.363636364,0.636363636
1980,NS89,56.14823743,-3.895086857,0.104547794,0,9,0,1
1980,NS99,56.155,-3.6903508,0.228417202,2,3,0.4,0.6
1980,NT19,56.156046,-3.349871,0.170236278,0,1,0,1
1980,NT27,55.978821,-3.19625,0.049180864,0,1,0,1
1980,NT36,55.879166,-2.983783,0.14372726,1,0,1,0
1981,NH77,57.714848,-4.158644,0.355084661,1,0,1,0
1981,NH78,57.811556,-4.097927,0.234940662,1,0,1,0
1981,NN42,56.38426,-4.550125,0.149322357,1,0,1,0
1981,NN53,56.48476333,-4.345167333,0.179746914,3,0,1,0
1981,NN70,56.181192,-4.066111,0.30401815,1,0,1,0
1981,NO00,56.204657,-3.605481,0.325315484,1,0,1,0
1981,NO14,56.548677,-3.392284,0.136384102,1,0,1,0
1981,NO23,56.461349,-3.145654,0.177162768,1,0,1,0
1981,NO24,56.586729,-3.187473,0.084138221,3,0,1,0
1981,NO25,56.667155,-3.233478,0.208072609,1,0,1,0
